id,text,department,source
644,Frequent voltage fluctuations in Barmunda are damaging our appliances for the past four days.,Electricity,synthetic
645,Our electricity bill near Nayapalli has come 3 times higher than normal without reason.,Electricity,synthetic
646,The traffic signal near Acharya Vihar is not working for two weeks now. Huge traffic jams forming.,Traffic,synthetic
647,Illegal parking near Jaydev Vihar marg is blocking traffic flow completely.,Traffic,synthetic
648,No drinking water in Bhubaneswar Old Town colony since Monday. Residents are buying water at high cost.,Water,synthetic
649,There is frequent power cut in Kalinga Nagar since last week. urgent attention required.,Electricity,synthetic
650,Night time racing of vehicles near Brahmapur is a serious safety issue. urgent attention required.,Traffic,synthetic
651,Sewage drain near Brahmapur is blocked and water is overflowing on the road. elderly people are affected.,Sanitation,synthetic
652,Water supply has been cut near Vani Vihar without any prior notice even after multiple complaints. we have been suffering daily.,Water,synthetic
653,Broken street light near Puri school is causing safety concern for students.,Electricity,synthetic
654,Sewer overflow from the drain near Chandrasekharpur is entering residential buildings.,Sanitation,synthetic
655,No zebra crossing near Nayapalli school. Children risk their life daily. children are at risk.,Traffic,synthetic
656,The electric pole near Nayapalli has a loose wire hanging dangerously.,Electricity,synthetic
657,The road from Dumduma to the main highway is in terrible condition.,Roads,synthetic
658,Broken road near Bomikhal is flooded with water during rains. it is a public safety hazard.,Roads,synthetic
659,Frequent voltage fluctuations in Bomikhal are damaging our appliances repeatedly.,Electricity,synthetic
660,Water supply timings in Vani Vihar are erratic. We never know when water will come.,Water,synthetic
661,The electricity pole near Khandagiri has tilted and could fall any moment. children are at risk.,Electricity,synthetic
662,Broken road near Rourkela is flooded with water during rains. we have been suffering daily.,Roads,synthetic
663,School zone near Patia has no speed limits enforced. Children are in danger. the whole locality is inconvenienced.,Traffic,synthetic
664,The electric pole near Jaydev Vihar has a loose wire hanging dangerously.,Electricity,synthetic
665,Power outage in Master Canteen Square even after multiple complaints. All perishable food is getting wasted.,Electricity,synthetic
666,Footpath near Saheed Nagar school has broken slabs which are dangerous for children.,Roads,synthetic
667,The electric connection to Jaydev Vihar community hall has been disconnected wrongly.,Electricity,synthetic
668,The fountain in Unit-6 park has not been working for over a week. It is a public attraction.,Parks,synthetic
669,Road maintenance work near Bomikhal was started but left incomplete repeatedly.,Roads,synthetic
670,The countdown timer on traffic signal near Chandrasekharpur is not working since last week.,Traffic,synthetic
671,The traffic signal near Rasulgarh has been blinking yellow for three days. it is causing inconvenience to residents.,Traffic,synthetic
672,Road near Barmunda has been dug for cable laying and not repaired for over a week. please take immediate action.,Roads,synthetic
673,The road surface near Acharya Vihar has completely eroded. Vehicles are getting damaged.,Roads,synthetic
674,The bridge near Vani Vihar has damaged railings. It is very unsafe.,Roads,synthetic
675,Frequent voltage fluctuations in Unit-4 are damaging our appliances since last month.,Electricity,synthetic
676,There has been no water supply in Tamando since Monday. it is causing inconvenience to residents.,Water,synthetic
677,The electric meter box near Chandrasekharpur is open and exposed to rain. Safety risk.,Electricity,synthetic
678,The chowk near Rourkela is completely broken with multiple potholes. the whole locality is inconvenienced.,Roads,synthetic
679,Water supply timings in Acharya Vihar are erratic. We never know when water will come.,Water,synthetic
680,The garden near Sambalpur has dead plants that have not been replaced repeatedly.,Parks,synthetic
681,The park in Unit-6 has broken benches and no lights. Unsafe at night.,Parks,synthetic
682,The road near Saheed Nagar is full of potholes making two wheelers prone to accidents.,Roads,synthetic
683,Drainage channel near Puri has not been cleaned since last month. Stagnant water everywhere.,Sanitation,synthetic
684,Loose garbage and plastic near Barmunda is blocking the roadside drain.,Sanitation,synthetic
685,Broken road tiles near Dumduma are creating hazard for pedestrians for two weeks now.,Roads,synthetic
686,Speeding vehicles on Unit-6 chowk are a constant threat. Need speed breaker.,Traffic,synthetic
687,The traffic signal near Cuttack is not working again and again. Huge traffic jams forming.,Traffic,synthetic
688,No road marking or lane discipline near Patia. Total traffic disorder.,Traffic,synthetic
689,Traffic signal timing near Tamando is wrong. Green for 5 seconds is too short.,Traffic,synthetic
690,The main arterial road near Kalinga Nagar has not been repaired since last month. it is causing inconvenience to residents.,Roads,synthetic
691,Road cutting work was done near Khandagiri but it has not been repaired for two weeks now.,Roads,synthetic
692,Open drainage near Khandagiri is breeding mosquitoes. Residents are falling sick.,Sanitation,synthetic
693,Old water pipes in Jaydev Vihar are rusting and contaminating drinking water supply.,Water,synthetic
694,Electricity transformer near Khandagiri has broken down for the past four days. Whole street affected.,Electricity,synthetic
695,The garbage van has not visited Patia repeatedly. Waste is piling up on the road.,Sanitation,synthetic
696,Drain near Tamando is choked with plastic waste. Sewage spilling on footpath.,Sanitation,synthetic
697,The water meter in our building near Unit-4 is faulty and showing excess usage.,Water,synthetic
698,The community dustbin near Sishu Bhawan Chowk is overflowing for more than a week. urgent attention required.,Sanitation,synthetic
699,Broken road tiles near Rourkela are creating hazard for pedestrians since last week.,Roads,synthetic
700,Open garbage dumping is happening near IRC Village street. Foul smell everywhere.,Sanitation,synthetic
701,Public toilet near Saheed Nagar is broken and overflowing for two weeks now. motorists are in danger.,Sanitation,synthetic
702,There is frequent power cut in Master Canteen Square for the past four days. motorists are in danger.,Electricity,synthetic
703,The main arterial road near Bomikhal has not been repaired again and again. children are at risk.,Roads,synthetic
704,Three-wheeler goods vehicles parked on footpath near Brahmapur blocking pedestrians.,Traffic,synthetic
705,Park in Unit-6 has an open drainage ditch inside it which is dangerous for children.,Parks,synthetic
706,New electricity connection applied for near Puri but not provided for three days.,Electricity,synthetic
707,Trucks are parked illegally overnight on Acharya Vihar street. elderly people are affected.,Traffic,synthetic
708,The water meter in our building near Unit-6 is faulty and showing excess usage.,Water,synthetic
709,We have not received water supply in Khandagiri for over a week. please take immediate action.,Water,synthetic
710,Water pipeline near Dumduma has developed multiple leaks causing waterlogging.,Water,synthetic
711,Our electricity bill near Patia has come 3 times higher than normal without reason.,Electricity,synthetic
712,The park in Rourkela has broken benches and no lights. Unsafe at night.,Parks,synthetic
713,Manhole cover near Acharya Vihar is broken and open. Very dangerous especially at night.,Sanitation,synthetic
714,The park in Brahmapur has broken benches and no lights. Unsafe at night.,Parks,synthetic
715,Construction debris has been dumped on the road near Bhubaneswar Old Town for two weeks now. children are at risk.,Roads,synthetic
716,The drain near IRC Village is overflowing with sewage still not fixed. there could be a serious accident.,Sanitation,synthetic
717,Water supply has been cut near Bomikhal without any prior notice again and again. the situation is getting worse daily.,Water,synthetic
718,The water pipe near Cuttack has burst and water is being wasted for the past four days.,Water,synthetic
719,"The signal near Patia has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
720,There is a leaking water main near Acharya Vihar nagar. Please fix urgently.,Water,synthetic
721,Road near Rourkela has been dug for cable laying and not repaired even after multiple complaints. there could be a serious accident.,Roads,synthetic
722,Broken road tiles near Unit-6 are creating hazard for pedestrians for more than a week.,Roads,synthetic
723,The water supply in Rourkela has been disrupted since last week. daily commuters are suffering.,Water,synthetic
724,There is no traffic control at Rasulgarh during peak hours. Chaos every morning.,Traffic,synthetic
725,Power supply in IRC Village goes off every night since Monday. We face a lot of issues.,Electricity,synthetic
726,Sewage drain near Patia is blocked and water is overflowing on the road. daily commuters are suffering.,Sanitation,synthetic
727,Open defecation is happening near the park in Jaydev Vihar every morning.,Sanitation,synthetic
728,The road from Rasulgarh to the main highway is in terrible condition.,Roads,synthetic
729,Water tanker has not come to Khandagiri again and again. Residents are suffering.,Water,synthetic
730,Overgrown bushes in Tamando park are becoming shelter for antisocial elements.,Parks,synthetic
731,No drinking water in Tamando colony since last month. Residents are buying water at high cost.,Water,synthetic
732,No road marking or lane discipline near Rourkela. Total traffic disorder.,Traffic,synthetic
733,Streetlights on Dumduma road have been out still not fixed. Area is unsafe at night.,Electricity,synthetic
734,The footpath on Jaydev Vihar square is broken and dangerous for pedestrians.,Roads,synthetic
735,Community water tap near Cuttack has been broken for more than a week. daily commuters are suffering.,Water,synthetic
736,Sewage is mixing with drinking water supply in Rourkela. Very serious. it is causing inconvenience to residents.,Water,synthetic
737,The streetlight near Unit-6 has been not working since Monday. elderly people are affected.,Electricity,synthetic
738,Overhead electric cable near Saheed Nagar is sagging very low. Vehicles might touch it.,Electricity,synthetic
739,Dead animal carcass lying on the road near Saheed Nagar for three days. Extremely unhygienic.,Sanitation,synthetic
740,Loose garbage and plastic near Acharya Vihar is blocking the roadside drain.,Sanitation,synthetic
741,The transformer near Master Canteen Square has been making loud noise and sparking for more than a week.,Electricity,synthetic
742,Drain near Chandrasekharpur is choked with plastic waste. Sewage spilling on footpath.,Sanitation,synthetic
743,Garbage collection truck near Bomikhal is coming once a week instead of daily.,Sanitation,synthetic
744,The sewer line near Sishu Bhawan Chowk is blocked causing overflow on the main road. it is causing inconvenience to residents.,Sanitation,synthetic
745,New electricity connection applied for near Bomikhal but not provided for the past four days.,Electricity,synthetic
746,Trees in Saheed Nagar park have not been trimmed even after multiple complaints. Branches are a hazard.,Parks,synthetic
747,Children's play equipment in Unit-6 park is rusting and dangerous for two weeks now.,Parks,synthetic
748,The road near Tamando is full of potholes making two wheelers prone to accidents.,Roads,synthetic
749,Public toilet near Khandagiri is broken and overflowing for three days. please take immediate action.,Sanitation,synthetic
750,"The signal near Brahmapur has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
751,The borwell near Vani Vihar is not working for two weeks now. No drinking water available.,Water,synthetic
752,Garbage near Vani Vihar street has been burning for two days. Air is polluted.,Sanitation,synthetic
753,No signal board at the intersection near Bomikhal. Drivers don't know right of way.,Traffic,synthetic
754,The water meter in our building near Unit-4 is faulty and showing excess usage.,Water,synthetic
755,The electric pole near Khandagiri has a loose wire hanging dangerously.,Electricity,synthetic
756,Broken road tiles near Master Canteen Square are creating hazard for pedestrians again and again.,Roads,synthetic
757,There is frequent power cut in Brahmapur for two weeks now. the situation is getting worse daily.,Electricity,synthetic
758,The park near Sambalpur has broken swings and slides. Children are getting injured.,Parks,synthetic
759,Road cutting work was done near Sambalpur but it has not been repaired for the past four days.,Roads,synthetic
760,The road divider near Kalinga Nagar is broken and there is no barricading. the situation is getting worse daily.,Roads,synthetic
761,Garbage dumping near Kalinga Nagar is happening illegally and nobody is stopping it.,Sanitation,synthetic
762,The drain near Brahmapur is overflowing with sewage for two weeks now. the whole locality is inconvenienced.,Sanitation,synthetic
763,Power cuts in Cuttack are lasting more than 6 hours daily since last week. children are at risk.,Electricity,synthetic
764,Garbage near Bhubaneswar Old Town nagar has been burning for two days. Air is polluted.,Sanitation,synthetic
765,Community water tap near IRC Village has been broken since last month. we have been suffering daily.,Water,synthetic
766,Wrong side driving near Master Canteen Square is rampant. No enforcement whatsoever.,Traffic,synthetic
767,Supply water in Bhubaneswar Old Town has high chlorine smell. Not suitable for cooking. please take immediate action.,Water,synthetic
768,The countdown timer on traffic signal near IRC Village is not working since last week.,Traffic,synthetic
769,Auto rickshaws are blocking the entire road near Brahmapur lane every evening.,Traffic,synthetic
770,The pedestrian signal near Sambalpur is not working since last week. Pedestrians at risk.,Traffic,synthetic
771,Road near Chandrasekharpur has been dug for cable laying and not repaired for the past four days. there could be a serious accident.,Roads,synthetic
772,Road near Acharya Vihar has been heavily damaged due to recent digging work since Monday.,Roads,synthetic
773,Waste dumped near Aiginia flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
774,Water supply timings in Chandrasekharpur are erratic. We never know when water will come.,Water,synthetic
775,The overhead water tank in Barmunda is leaking and overflowing on the road.,Water,synthetic
776,We have not received water supply in Acharya Vihar since Monday. we have been suffering daily.,Water,synthetic
777,The main water supply valve near Vani Vihar is stuck and causing low pressure issues.,Water,synthetic
778,High tension wire near Master Canteen Square is passing very low over the road. Very dangerous.,Electricity,synthetic
779,Water supply has been cut near Chandrasekharpur without any prior notice since last week. motorists are in danger.,Water,synthetic
780,Broken street light near Chandrasekharpur school is causing safety concern for students.,Electricity,synthetic
781,Bus stop near Sishu Bhawan Chowk has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
782,Power outage in Master Canteen Square for three days. All perishable food is getting wasted.,Electricity,synthetic
783,The road from Rasulgarh to the main highway is in terrible condition.,Roads,synthetic
784,Garbage dumping near Tamando is happening illegally and nobody is stopping it.,Sanitation,synthetic
785,The electric connection to Patia community hall has been disconnected wrongly.,Electricity,synthetic
786,The fountain in Chandrasekharpur park has not been working even after multiple complaints. It is a public attraction.,Parks,synthetic
787,Electricity transformer near Rasulgarh has broken down repeatedly. Whole street affected.,Electricity,synthetic
788,The community dustbin near Rourkela is overflowing again and again. elderly people are affected.,Sanitation,synthetic
789,The main water supply valve near Khandagiri is stuck and causing low pressure issues.,Water,synthetic
790,The road in Kalinga Nagar colony has completely broken down after the monsoon. children are at risk.,Roads,synthetic
791,Open garbage dumping is happening near Brahmapur square. Foul smell everywhere.,Sanitation,synthetic
792,Speed breaker near Aiginia has no markings and is causing accidents.,Roads,synthetic
793,The road from Barmunda to the main highway is in terrible condition.,Roads,synthetic
794,High tension wire near Sishu Bhawan Chowk is passing very low over the road. Very dangerous.,Electricity,synthetic
795,Concrete road near Aiginia has developed cracks and is sinking in some areas.,Roads,synthetic
796,Broken road near IRC Village is flooded with water during rains. it is a public safety hazard.,Roads,synthetic
797,Frequent voltage fluctuations in Barmunda are damaging our appliances repeatedly.,Electricity,synthetic
798,No signal board at the intersection near Jaydev Vihar. Drivers don't know right of way.,Traffic,synthetic
799,Supply water in Tamando has high chlorine smell. Not suitable for cooking. the situation is getting worse daily.,Water,synthetic
800,Footpath near Vani Vihar school has broken slabs which are dangerous for children.,Roads,synthetic
